Power (dBm),Distance (in),Avg RSSI (dBm)
10,6,-49.09775769
10.25,6,-48.87670031
10.5,6,-48.66528645
10.75,6,-48.46318102
11,6,-48.27004889
11.25,6,-48.08555496
11.5,6,-47.90936411
11.75,6,-47.74114123
12,6,-47.58055121
12.25,6,-47.42725894
12.5,6,-47.28092929
12.75,6,-47.14122717
13,6,-47.00781746
13.25,6,-46.88036503
13.5,6,-46.7585348
13.75,6,-46.64199163
14,6,-46.53040042
14.25,6,-46.42342605
14.5,6,-46.32073341
14.75,6,-46.2219874
15,6,-46.12685289
15.25,6,-46.03499478
15.5,6,-45.94607795
15.75,6,-45.85976729
16,6,-45.77572768
16.25,6,-45.69362402
16.5,6,-45.61312119
16.75,6,-45.53388408
17,6,-45.45557758
17.25,6,-45.37786657
17.5,6,-45.30041595
17.75,6,-45.22289059
18,6,-45.14495539
18.25,6,-45.06627523
18.5,6,-44.98651501
18.75,6,-44.9053396
19,6,-44.8224139
19.25,6,-44.7374028
19.5,6,-44.64997117
19.75,6,-44.55978392
20,6,-44.46650592
20.25,6,-44.36980207
20.5,6,-44.26933724
20.75,6,-44.16477634
21,6,-44.05578424
21.25,6,-43.94202584
21.5,6,-43.82316601
21.75,6,-43.69886966
22,6,-43.56880166
22.25,6,-43.4326269
22.5,6,-43.29001028
22.75,6,-43.14061668
23,6,-42.98411098
23.25,6,-42.82015807
23.5,6,-42.64842284
23.75,6,-42.46857019
24,6,-42.28026498
24.25,6,-42.08317213
24.5,6,-41.8769565
24.75,6,-41.66128299
25,6,-41.43581649
25.25,6,-41.20022188
25.5,6,-40.95416405
25.75,6,-40.69730788
26,6,-40.42931828
26.25,6,-40.14986011
26.5,6,-39.85859828
26.75,6,-39.55519766
27,6,-39.23932315
27.25,6,-38.91063964
27.5,6,-38.568812
27.75,6,-38.21350513
28,6,-37.84438392
28.25,6,-37.46111324
28.5,6,-37.063358
28.75,6,-36.65078308
29,6,-36.22305336
29.25,6,-35.77983373
29.5,6,-35.32078909
29.75,6,-34.84558431
30,6,-34.35388429
30.25,6,-33.8453539
30.5,6,-33.31965805
30.75,6,-32.77646162
31,6,-32.21542949
31.25,6,-31.63622655
31.5,6,-31.03851769
31.75,6,-30.4219678
32,6,-29.78624176
32.25,6,-29.13100447
32.5,6,-28.4559208
